humid,temp,press,gas,tvoc,altitude,eCO2,H2,quality
61.77,27.36,1011.3,5.957,16.22,16.22,16.22,16.22,good
61.86,27.37,1011.3,6.439,16.27,16.27,16.27,16.27,good
61.97,27.38,1011.3,7.138,16.28,16.28,16.28,16.28,good
61.98,27.39,1011.29,7.852,16.31,16.31,16.31,16.31,good
61.93,27.4,1011.29,8.62,16.36,16.36,16.36,16.36,good
61.97,27.41,1011.29,9.453,16.36,16.36,16.36,16.36,good
62.02,27.43,1011.29,10.403,16.36,16.36,16.36,16.36,good
61.94,27.45,1011.3,11.514,16.26,16.26,16.26,16.26,good
61.84,27.46,1011.3,13.198,16.25,16.25,16.25,16.25,good
61.72,27.48,1011.3,14.729,16.24,16.24,16.24,16.24,good
61.71,27.5,1011.29,16.305,16.34,16.34,16.34,16.34,good
61.69,27.52,1011.29,18.043,16.37,16.37,16.37,16.37,good
61.59,27.54,1011.28,20.006,16.4,16.4,16.4,16.4,good
61.54,27.56,1011.28,21.761,16.44,16.44,16.44,16.44,good
61.36,27.58,1011.28,24.224,16.43,16.43,16.43,16.43,good
61.3,27.6,1011.28,26.042,16.38,16.38,16.38,16.38,good
61.32,27.62,1011.28,28.138,16.38,16.38,16.38,16.38,good
61.24,27.64,1011.28,29.934,16.38,16.38,16.38,16.38,good
61.13,27.65,1011.28,31.904,16.42,16.42,16.42,16.42,good
61.14,27.67,1011.28,33.746,16.43,16.43,16.43,16.43,good
61.11,27.69,1011.27,35.575,16.5,16.5,16.5,16.5,good
61.05,27.7,1011.27,37.09,16.51,16.51,16.51,16.51,good
61.01,27.72,1011.27,38.917,16.54,16.54,16.54,16.54,good
61.01,27.73,1011.27,40.699,16.52,16.52,16.52,16.52,good
60.96,27.75,1011.26,42.272,16.58,16.58,16.58,16.58,good
60.96,27.77,1011.26,43.835,16.55,16.55,16.55,16.55,good
60.96,27.78,1011.26,45.422,16.57,16.57,16.57,16.57,good
60.94,27.79,1011.27,46.766,16.52,16.52,16.52,16.52,good
60.88,27.81,1011.25,49.145,16.63,16.63,16.63,16.63,good
60.86,27.82,1011.25,50.453,16.66,16.66,16.66,16.66,good
60.76,27.83,1011.25,51.738,16.65,16.65,16.65,16.65,good
60.76,27.85,1011.24,53.056,16.71,16.71,16.71,16.71,good
60.75,27.86,1011.23,54.549,16.79,16.79,16.79,16.79,good
60.7,27.87,1011.23,55.255,16.83,16.83,16.83,16.83,good
60.64,27.88,1011.22,56.387,16.88,16.88,16.88,16.88,good
60.59,27.9,1011.22,57.566,16.89,16.89,16.89,16.89,good
60.52,27.91,1011.23,58.195,16.84,16.84,16.84,16.84,good
60.47,27.92,1011.22,59.122,16.89,16.89,16.89,16.89,good
60.51,27.93,1011.2,60.334,17.05,17.05,17.05,17.05,good
60.49,27.94,1011.2,60.677,17.11,17.11,17.11,17.11,good
60.47,27.95,1011.19,61.91,17.16,17.16,17.16,17.16,good
60.45,27.96,1011.18,62.545,17.23,17.23,17.23,17.23,good
60.41,27.97,1011.18,62.914,17.24,17.24,17.24,17.24,good
60.35,27.98,1011.18,63.952,17.29,17.29,17.29,17.29,good
60.3,27.99,1011.18,64.925,17.26,17.26,17.26,17.26,good
60.34,28,1011.17,64.826,17.33,17.33,17.33,17.33,good
60.3,28,1011.17,65.674,17.36,17.36,17.36,17.36,good
60.29,28.01,1011.16,66.649,17.41,17.41,17.41,17.41,good
60.22,28.02,1011.16,66.963,17.41,17.41,17.41,17.41,good
